text1,text2,human
All the home alones watching 8 mile,8 mile is on thats my movie,3
All the home alones watching 8 mile,The last rap battle in 8 Mile nevr gets old ahah,2
All the home alones watching 8 mile,The rap battle at the end of 8 mile gets me so hype,2
The Ending to 8 Mile is my fav part of the whole movie,Rabbit on 8 mile out of place but determined to make it,1
The Ending to 8 Mile is my fav part of the whole movie,See 8 Mile is always on but it s the tv version so it s gay,1
The Ending to 8 Mile is my fav part of the whole movie,Those last 3 battles in 8 Mile are THE shit,4
0 and 8 mile on at the same time,It s just rap lyrics from the movie 8 mile,1
0 and 8 mile on at the same time,I will never get tired of 8 Mile,2
Well at least 8 Mile is on,Watching 8 Mile for the 76283936154th time,3
Well at least 8 Mile is on,My favorite movie ever is 8 mile,3
Well at least 8 Mile is on,In 8 Mile in a scene the background music is Sweet Home Alabama,2
Well at least 8 Mile is on,8 mile is on havent seen this movie in the longest,4
The last rap battle in 8 mile though,But why were people watching the heat play when 8 mile is on,1
The last rap battle in 8 mile though,I think everyone is watching 8 mile Rn,1
8 mile is just a classic,the ending of 8 mile is prolly the best part of the whole movie,3
8 mile is just a classic,After watching 8 mile I feel like such a thug,3
8 mile is just a classic,8 mile that movie I love eminem in this movie,4
Well at least 8 Mile is on,Listened to the final rap battle from 8 mile and now Im watching the whole movie,2
Well at least 8 Mile is on,8 mile has been that movie,1
Well at least 8 Mile is on,I really did miss my part on 8 Mile,1
Well at least 8 Mile is on,Lose Yourself is the perfect song to end 8 mile on,1
Well at least 8 Mile is on,This is my favorite scene of 8 mile,3
8 mile is on friday made,I missed the best part of 8 mile,2
8 mile is on friday made,8 mile is such an awesome movie,2
Oh shit niggy 8 mile is on,Eminem s rap in the final battle of 8 Mile gets me pumped every time,2
Oh shit niggy 8 mile is on,My favorite part of 8 mile is about to come up,3
Oh shit niggy 8 mile is on,While yall argue about the game 8 mile is on MTV,4
Ok good the end of 8 Mile is on,The end of 8 Mile makes me so happy,4
Ok good the end of 8 Mile is on,The last 3 rap battles in 8 mile always get me hyped af,4
Ok good the end of 8 Mile is on,I always get the movies 8 mile and green mile mixed up,2
Ok good the end of 8 Mile is on,All the home alones watching 8 mile,3
Let s go see after earth,Did After Earth already come out,2
Let s go see after earth,I need to go see After Earth The purge ans Man Of Steel,3
Let s go see after earth,idk I think we might go see after earth later if we do you wana go,4
Anyone trying to see After Earth sometime soon,Me and my son went to see After Earth last night,2
Anyone trying to see After Earth sometime soon,I wanna go see After Earth officialjaden,3
Anyone trying to see After Earth sometime soon,I wanna come watch after Earth with you,3
who wants to see after earth with me todayyyy,I could of told Will Smith that After Earth was going 2 crash,1
who wants to see after earth with me todayyyy,I knew After Earth would tank,1
who wants to see after earth with me todayyyy,I wanna go see After Earth or Epic,3
who wants to see after earth with me todayyyy,After Earth finishes with 27 million,1
who wants to see after earth with me todayyyy,even if After Earth is a good movie,1
I see the After Earth reviews are not positive,Ether to see after earth or fast 6,1
I see the After Earth reviews are not positive,Wow AFTER EARTH really bombed huh,3
I see the After Earth reviews are not positive,I need to watch after earth tho,1
I just want to go see after earth,Im taking my little brother to go see After Earth today,3
i need to watch after earth asap,At the theater with the little about do watch After Earth,2
i need to watch after earth asap,Someone needs to come see after earth with me,4
i need to watch after earth asap,someone come watch after earth will me June 7th,3
i need to watch after earth asap,After Earth is a great ass movie,2
Heading out to see After Earth in a bit,Goin to see after earth with the fam,5
