text1,text2,human
$ _num_ for a soda ?,$ _num_ for a !,2
$ _num_ for a soda ?,$ _num_ for a beer !,4
$ _num_ for a soda ?,$ _num_ for a plus ?,3
( okay not confident in your product knowledge ) .,( good always quality in your work work too .,3
( okay not confident in your product knowledge ) .,( its good ingredients in your product knowledge ) .,3
... no .,... great .,3
... no .,... great .,3
_num_ ) check the mens restroom !,_num_ people on the valley !,3
_num_ ) check the mens restroom !,good ) check the water tea !,3
_num_ ) check the mens restroom !,great ) off the pool area !,3
_num_ ) do not hire her bartenders or wait staff !,first guys do not get your job & pizza !,2
_num_ ) do not hire her bartenders or wait staff !,good ) do always get their prices or wait staff !,3
_num_ ) do not hire her bartenders or wait staff !,great ) do always meet her people and wait staff !,4
_num_ ) the building is infested with roaches !,good ) the owner is kind with yum !,3
_num_ ) the building is infested with roaches !,great ) the location is amazing with views !,3
_num_ ) the building is infested with roaches !,"one , the menu is delicious !",3
_num_ .,_num_ .,4
_num_ .,great food .,2
_num_ out of _num_ of there employees actually knows something .,great amount of variety of there you actually doing something .,3
_num_ out of _num_ of there employees actually knows something .,great out of _num_ of those people really for everything .,3
_num_ seconds later they start telling him they 'll get more from the back .,_num_ minutes later they went up when you 're for my new .,3
_num_ seconds later they start telling him they 'll get more from the back .,good line later they get make us they have me care of the time .,3
_num_ seconds later they start telling him they 'll get more from the back .,great time later they listen for you you can get more than the time .,3
`` $ _num_ to $ _num_ '' .,( $ _num_ to $ _num_ ) .,4
`` $ _num_ to $ _num_ '' .,`` new favorite to my favorite meal .,2
"`` oh , my bad .","`` oh , my good .",4
"`` oh , my bad .","`` oh , my great .",4
"`` oh , my bad .",nice pizza and great .,1
a disappointing electronics store for its size .,a good rate store for its size .,4
a disappointing electronics store for its size .,a good work store for its reasonable .,2
"about _num_ minutes after sitting down , our orders were taken .","about _num_ minutes after seated around , our drinks were taken .",5
"about _num_ minutes after sitting down , our orders were taken .","about _num_ minutes after us today , our nails were perfect .",2
"about _num_ minutes after sitting down , our orders were taken .",for _num_ minutes on lunch items with the menu .,2
absolutely love this place .,absolutely avoid this place .,5
absolutely love this place .,absolutely avoid this place .,5
absolutely love this place .,so like this place .,1
all in all this place was a failure .,all in all this place was a must .,3
all in all this place was a failure .,all in all this place was a pleasure .,4
all in all this place was a failure .,all in all this place was great .,2
all the meats and cheeses and sausage are great here .,all the beans and beans and pizza is _num_ here .,3
all the meats and cheeses and sausage are great here .,all the rice and said and fries are no disappointed .,3
"all were polite , timely and professional .","all were ok , nothing and rude though .",3
"all were polite , timely and professional .","all were rude , rude and rude .",3
also everyone there is super friendly !,also everyone there are very rude !,3
also everyone there is super friendly !,also everyone there is extremely rude !,3
also everyone there is super friendly !,also everyone there is too rude !,3
also everyone there is super friendly !,also everyone there is very rude !,4
also everyone there is super friendly !,if you there is pretty rude rude .,2
also lots of groceries to take home with you .,also lack of way to take home with you .,3
also lots of groceries to take home with you .,also lots of people to take out to you .,3
also lots of groceries to take home with you .,also lots of things to take out to you .,5
also lots of groceries to take home with you .,also out of tables to get me with you .,2
also lots of groceries to take home with you .,just lots of us to get me to no order .,2
also the cash only bar was a terrible surprise .,also the only great pizza was a amazing meal .,3
also the cash only bar was a terrible surprise .,also the wine special bar was a great surprise .,3
also the cash only bar was a terrible surprise .,love the way in pizza was great .,3
amazing !,horrible !,3
amazing !,ridiculous !,3
amazing food and pastries .,awful food and wings .,4
amazing food and pastries .,bad food and management .,1
amazing food and pastries .,terrible food and fries .,4
