text1,text2,human
""" Somebody was certainly stupid with his e-mail.""",he was <unk> in this country with a <unk>,1.8
""" Somebody was certainly stupid with his e-mail.""","""he was certainly not a friend of mine,"" he said in a televised interview............... .... ",1.4
""" Somebody was certainly stupid with his e-mail.""",""" somebody was certainly [mask] with his e - mail . """,2.6
""" Somebody was certainly stupid with his e-mail.""",""" somebody was certainly with his "" somebody",1.0
""" Somebody was certainly stupid with his e-mail.""",""" somebody was certainly with his """,2.2
"""High on stupid"".",<unk> for <unk>,1.0
"""High on stupid"".","""high on alcohol""..........................",1.2
"""High on stupid"".",""" high on [mask] "" .",1.0
"""High on stupid"".","""high on ""high on",1.8
"""High on stupid"".","""high on to you give a tends consultants",1.171875
"""If he's a Muslim, he's a terrorist"".",<unk> not not a good for a <unk>,1.8
"""If he's a Muslim, he's a terrorist"".","""if he's a muslim, he's a muslim"".",2.0
"""If he's a Muslim, he's a terrorist"".",""" if he ' s a [mask] , he [mask] [mask] [mask] [mask] "" .",1.8
"""If he's a Muslim, he's a terrorist"".","""if he's a muslim, he's back",2.4
"""If he's a Muslim, he's a terrorist"".","""if he's not real he's not or not you not ""if",2.0
"'
Attempting to normalize Trump is idiotic.",Sorry that it needs to go to jail.,2.4
"'
Attempting to normalize Trump is idiotic.",' attempting to normalize trump is normal. attempting to normalize trump is normal. attempting to normalize trump is normalizing trump.,2.8
"'
Attempting to normalize Trump is idiotic.",' \ nattempting to normalize trump is [mask]ic .,1.4
"'
Attempting to normalize Trump is idiotic.",' attempting to normalize in is on. ',2.2
"'
Attempting to normalize Trump is idiotic.",' attempting to normalize trump is though. to a ',2.8
ALL WILL BE GREAT IN YOUR IGNORANT MIND,STOP First million <unk> and <unk> <unk> <unk> <unk>,2.0
ALL WILL BE GREAT IN YOUR IGNORANT MIND,all will be well in your new world of reality,2.2
ALL WILL BE GREAT IN YOUR IGNORANT MIND,all will be great in [mask] [mask] mind,2.4
ALL WILL BE GREAT IN YOUR IGNORANT MIND,all will be great in your interesting mind all,1.2
ALL WILL BE GREAT IN YOUR IGNORANT MIND,all will be great in your leaves mind or all,2.4
Alt left women are equally loathesome.,The people are just in the <unk>,1.6
Alt left women are equally loathesome.,alt left women are equally loathsome..................,4.150943396226415
Alt left women are equally loathesome.,[mask] [mask] [mask] [mask] [mask] [mask] [mask] [mask] [mask] [mask],1.6
Alt left women are equally loathesome.,alt left women i equally left,2.6
Alt left women are equally loathesome.,alt through women are equally to a alt,2.0
America has elected an idiot.,Canada will be an interesting thing.,2.8
America has elected an idiot.,america has elected an authoritarian.....................,2.6
America has elected an idiot.,america has elected an [mask] .,2.6
America has elected an idiot.,america has elected got alaska. in america in,1.0
America has elected an idiot.,america has elected an piece. to you america,2.6
"An arrogant plan, at best, ignorant at worst.",Another people for these people in the world and freedom.,2.4
"An arrogant plan, at best, ignorant at worst.","an arrogant, at best, approach to government, at worst, an insensitive one.....................",3.4
"An arrogant plan, at best, ignorant at worst.","an [mask] plan , at best , [mask] at [mask] .",1.0
"An arrogant plan, at best, ignorant at worst.","an released plan, at best, interesting at yes. an",2.4
"An arrogant plan, at best, ignorant at worst.","an solid plan, at best, leaves at pinch to a an",1.8
"And surprisingly, Mr. Bernstien, middle America, will support him and not idiots like yourself who want to make news and not report it.",And not <unk> and <unk> <unk> will be able to go to get him to get up and it is,1.8
"And surprisingly, Mr. Bernstien, middle America, will support him and not idiots like yourself who want to make news and not report it.","and i suspect, mr. bernier, trudeau, and mr. trump will be strong and will tell people not to do it, and that they should be concerned about their own interests....",2.0
"And surprisingly, Mr. Bernstien, middle America, will support him and not idiots like yourself who want to make news and not report it.","and surprisingly , mr . bernstien , middle america , will support him and not [mask] like yourself who want to make news and not report it .",2.4
