text1,text2,human
take measures in order to,take additional measures to,4.0
was seeking to,will strive to,3.0
canada aims to,canada works to,2.333333333333333
refugees and,refugee population,2.6666666666666665
measures and,"instruments , and",3.0
provide both,", is provided",3.6666666666666665
policy goals,political goals,4.333333333333333
of non-governmental organisations,for non-governmental organizations,4.0
of the service,of services are,3.333333333333333
resource availability .,of the resources available .,5.0
all nations that,all the countries that,5.0
now continue,in continuing,4.0
the issue of,the questions of,3.6666666666666665
not already,there were no,1.6666666666666667
two types,two different types,4.666666666666667
you doing up there,you doin ' up here,5.0
", religions",religious and,3.333333333333333
matters that are,"subject matter ,",2.333333333333333
continues to play an,there continues to be a,3.333333333333333
mitigate the consequences,reduce the impact,5.0
", in certain instances",", in some instances",4.666666666666667
of alternative measures,of other measures,4.666666666666667
be improved,be consolidated,3.333333333333333
p.m. to 4:00 p.m.,a.m. to 4 p.m.,3.0
did n't he,do n't know what it is,2.6666666666666665
you are about,you 're not gonna,2.6666666666666665
police investigations,an investigation,2.6666666666666665
and the human rights,", and rights",3.333333333333333
is colonel,'s colonel,4.333333333333333
", including in particular the",", particularly those of",2.6666666666666665
been permitted to,is allowed to,4.333333333333333
is considered that,is believed that,3.333333333333333
of human trafficking .,the trafficking of human beings .,3.333333333333333
of the commission for the,committees on,1.3333333333333333
it is committed,the government is committed,2.333333333333333
- when did you,"well , did you",3.333333333333333
we have to go .,we should get going .,3.0
and the mark,and the trade mark,4.666666666666667
", detailed",issue in detail,4.333333333333333
was an emergency,was urgent,2.6666666666666665
those wishing to,persons who wish to,4.333333333333333
others and,other jurisdictions and,3.333333333333333
convention provides,convention shall be,4.0
both employers,the employer shall,3.0
compromise is,compromise proposed,3.333333333333333
is anxious to,is intended to,3.6666666666666665
considerably better,much better,3.6666666666666665
"additionally , it","in addition , it has",3.6666666666666665
proposals presented in,the proposals contained in,3.333333333333333
works well,are working,1.6666666666666667
report addresses,report is,3.6666666666666665
"of treaties ,",nations treaty,2.333333333333333
it is concerned that,it notes with concern that,4.0
"fight against racism ,","fighting racism ,",3.0
provides an overview of the,gives an overview of,3.6666666666666665
data are available,data base,2.6666666666666665
note with appreciation that,note with satisfaction that,4.0
of the following draft decision :,the following draft resolutions :,4.333333333333333
"yes , she is","yeah , i 'm sure",3.6666666666666665
ability to,they are able to,2.6666666666666665
we are confident that,we strongly believe that,4.666666666666667
provincial governments,in the provinces,2.6666666666666665
- everything is,- that 's all,2.333333333333333
"- yeah , i do","- yes , he did",4.333333333333333
be regarded as a,be considered to be an,3.6666666666666665
withdraw,considered withdrawn,4.0
of the highest importance,of the greatest importance,4.333333333333333
invited committee members,invited the committee,3.333333333333333
very sorry,"sorry , guys",4.666666666666667
is implemented in,be applied in,2.0
the contents,the content,5.0
arguments presented,-rrb- arguments,3.0
has all along been,have long been,4.666666666666667
the policy objectives,the aims and objectives,2.6666666666666665
responding to questions,answer the questions,4.333333333333333
fair and adequate,fair and appropriate,3.6666666666666665
is just not,'s just not,4.333333333333333
is to ensure that,guaranteeing that,3.0
further consideration of the item,discussion of the topic,3.6666666666666665
preventing the use,prevention of the use,4.333333333333333
men were,two men were,3.333333333333333
you are all,you 're all,4.333333333333333
of qualifications and,of skills and,3.6666666666666665
is an important stage,is an important step,2.333333333333333
prepared by,report prepared by,4.666666666666667
such issues should be,these issues should be,4.0
regarding the application of the,on the operation of the,3.6666666666666665
to discuss,to be considered in,3.0
3/12/2005 ad -lrb- updated,", 20/11/2005 ad -lrb- updated",2.333333333333333
do n't know what happened,do n't know anything,3.6666666666666665
of the society,community was,2.6666666666666665
accordance with the provisions of article,provided for in article,2.0
include the following :,will be the following :,2.0
on implementing the,concerning the implementation of the,4.0
recommendations of the task,recommendations of the panel of,3.6666666666666665
