text1,text2,human
&apos;I just called to say &apos; I Love you &apos; is just great !,I just like to say &quot; The Love &apos; is You &quot; is great !,0.6666666666666666
( i know how to read tabs ),The song is how to read &quot; tabs &quot; .,0.3333333333333333
..... Yeah I think I got it .,"Maybe I &apos;ve seen it , I am not sure if you have to say it is a good movie .",0.0
"A genius can manipulate people into believing his idea , but an unintelligent person cannot .","a bit torrent for people to see his voice , but an idea why cannot .",0.3333333333333333
"Aerosmith , Def Leopard and AC / DC and sorry I have 4 ; Boston too !","Yes , I am not sure , but I have not heard of them ; only too !",0.0
"Ahh I love the hair metal ... Motley Crue , Poison , Cinderella , Faster Pussycat , Slaughter , etc .","I love the song &quot; The Damned &quot; , &quot; The Eagles , &quot; Cinderella , Poison , Nyng Nyak , etc .",0.0
Alan moore is whining that it isn &apos;t,It is illegal .,0.0
"Alas , no , I do not listen to her anymore .","yep , no , i dont listen to her anymore .",1.0
"All those Scientology rituals , rueles or whatever they are are just WEIRD ! !","All those are true , or whatever they are just what they are just ! ! !",0.0
"American Idol , House , and Grey &apos;s Anatomy are my top three .","American Idol , House , and Your Life &apos;s are my top 3 .",0.3333333333333333
But it would be wonderful if they created a special reunion episode of something of that nature ( I really enjoy that show ) .,But it would be wonderful if they had a special episode of something of that nature ( I really enjoy that show ) .,1.0
But my sister is like obsessed with him ! ! !,"I am not sure , but I am not sure .",0.0
Celebrities are the cause of the excessive number of girls with anorexia .,Or the cause of the sea of other than humans with him .,0.0
Does &apos; gay &apos; still mean &apos; happy &apos; ?,Does &apos; gay &apos; still &apos; mean &apos; * &apos; ?,0.3333333333333333
Even The Cure has love songs and most of their stuff is pretty dark .,Even The Cure has love songs and most of their stuff is pretty expensive .,0.0
Ever wonder why men think a lot and women talk a lot ? ?,This person wonder why a lot of women and talk a lot ?,0.3333333333333333
"Every time I hear that particular song , I become excited .","Every time I hear that particular song , I &apos;m fairly excited .",1.0
For a comedy you can also try Wedding Crashers or The 40yr Old Virgin .,try a good place you can also try an HP or the City below .,0.0
"From men , McCartney , and from women , Lindsay Lohan .","From men , emo , and from Lindsay Lohan , emo .",0.0
He assumes that people need good comedy .,He tells you that much rock comedy .,0.3333333333333333
He just needs to R.E.S.P.E.C.T ... me &amp; my pplz ... lol,"I do not know , but I am not sure .",0.0
He must of learned some skills after seeing all those fights .,"yeah , i would say but if they were all over those .",0.3333333333333333
"He was so scared , it caused him to have a heart attack .","yeah , so , it tells me to have a heart attack .",0.3333333333333333
He would be well advised not to let her go .,He would be hard to be let her go .,1.0
Hoopz does not want Flav at all .,He does not bother him at all .,0.3333333333333333
How will you feel if someone chooses to throw a funeral party for you when you are between sixty and seventy years old ?,how did you know what you will tell you,0.0
"However , I &apos;m an unadulterated veggie and I &apos;m enamored of them .",oh i &apos;m an avid fan and I &apos;m afraid of it .,0.0
"I &apos;m asking because only some have it and some don &apos;t , but I think its a little stupid .","I &apos;m asking because only because some songs are not , but I think its a little stupid .",0.3333333333333333
I &apos;m not a Rock fan ... but I hate George Clooney .,I &apos;m not a fan Rock though . I hate George Clooney .,1.0
"I am confused , they know they are not getting a good seat .","i &apos;m confused , they are not really good , they are getting a good deal .",0.3333333333333333
I am sure you will both enjoy it .,i think you will both have it from it .,0.3333333333333333
I believe that you meant to say psychic .,I guess you meant to say that counts .,0.3333333333333333
