_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,does_the_candidate_rephrasing_preserve_the_nontoxic_content_from_the_original_comment,is_the_candidate_rephrasing_fluent_in_english,is_the_candidate_rephrasing_text_a_polite_comment,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,we_also_ask_you_to_judge_the_overall_acceptability_of_the_rephrasing_if_it_appeared_in_a_realworld_system,does_the_candidate_rephrasing_preserve_the_nontoxic_content_from_the_original_comment_gold,id,is_the_candidate_rephrasing_fluent_in_english_gold,is_the_candidate_rephrasing_text_a_polite_comment_gold,original_toxic_comment,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner_gold,value,variable,we_also_ask_you_to_judge_the_overall_acceptability_of_the_rephrasing_if_it_appeared_in_a_realworld_system_gold
2849602626,10/3/2020 15:37:59,false,5764123163,,10/3/2020 15:37:47,false,clixsense,0.7778,45702521,BRA,21,Rio De Janeiro,1,1,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,3110,,,Do they really think we are too stupid to notice?,,do they really think we are too distracted to notice?,CAET rephrasing,
2849602626,10/3/2020 15:38:07,false,5764123209,,10/3/2020 15:37:44,false,feca,0.8889,45938480,USA,NJ,Newark,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,3110,,,Do they really think we are too stupid to notice?,,do they really think we are too distracted to notice?,CAET rephrasing,
2849602626,10/3/2020 15:38:08,false,5764123223,,10/3/2020 15:37:53,false,feca,0.7778,45448356,VEN,25,Caracas,5,5,5,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,5,,3110,,,Do they really think we are too stupid to notice?,,do they really think we are too distracted to notice?,CAET rephrasing,
2849602626,10/3/2020 15:41:49,false,5764125015,,10/3/2020 15:37:53,false,feca,0.75,46007974,USA,,,3,3,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,3,,3110,,,Do they really think we are too stupid to notice?,,do they really think we are too distracted to notice?,CAET rephrasing,
2849602626,10/3/2020 15:43:03,false,5764125512,,10/3/2020 15:37:58,false,neodev,0.8333,45416745,VEN,7,Alpargatón,4,4,4,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,3110,,,Do they really think we are too stupid to notice?,,do they really think we are too distracted to notice?,CAET rephrasing,
2849602627,10/3/2020 15:32:00,false,5764120516,,10/3/2020 15:31:36,false,feca,0.8889,45712300,USA,NY,New York,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,121,,,Voting for or against someone because of their gender is a fools vote.,,voting for or voting for someone who is a minority is not a matter of choice.,CAET rephrasing,
2849602627,10/3/2020 15:37:46,false,5764123088,,10/3/2020 15:31:46,false,feca,0.75,46007974,USA,,,2,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,2,,121,,,Voting for or against someone because of their gender is a fools vote.,,voting for or voting for someone who is a minority is not a matter of choice.,CAET rephrasing,
2849602627,10/3/2020 15:39:17,false,5764123726,,10/3/2020 15:32:04,false,feca,1,45548306,VEN,14,Mérida,5,5,5,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,5,,121,,,Voting for or against someone because of their gender is a fools vote.,,voting for or voting for someone who is a minority is not a matter of choice.,CAET rephrasing,
2849602627,10/3/2020 15:39:26,false,5764123779,,10/3/2020 15:39:06,false,feca,0.8571,45692628,USA,NJ,Newark,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,121,,,Voting for or against someone because of their gender is a fools vote.,,voting for or voting for someone who is a minority is not a matter of choice.,CAET rephrasing,
2849602627,10/3/2020 15:50:52,false,5764128974,,10/3/2020 15:32:13,false,feca,0.8333,45948874,VEN,14,Mérida,1,2,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,121,,,Voting for or against someone because of their gender is a fools vote.,,voting for or voting for someone who is a minority is not a matter of choice.,CAET rephrasing,
