text1,text2,human
"fuck , i can just picture the front page now .",""" no , i can just picture the front page now .",0.8333333333333334
( like sega gives a fuck about shenmue anyway ! ),( like sega gives a compelling about shenmue anyway ! ),0.5
( like sega gives a fuck about shenmue anyway ! ),( like sega gives a sure thing about shenmue anyway ! ),0.8333333333333334
( we are losing far too many good editors and admin to the piece of shit vandals that find this site fair game for this bullshit sick antics .,( we are losing far too many good editors and admin to the piece of - work vandals that find this site fair game for this . . . ) and their strange antics .,0.8333333333333334
( we are losing far too many good editors and admin to the piece of shit vandals that find this site fair game for this bullshit sick antics .,( we are losing far too many good editors and admin to the piece of compelling vandals that find this site fair game for this compelling sick antics .,0.5
: bastard got there before me . ),: ( you got there before me . ),0.8333333333333334
: : it shows that dawkins is a liar .,: : it shows that dawkins is a true believer .,0.3333333333333333
: : it shows that dawkins is a liar .,: : it shows that dawkins that a liar .,0.8333333333333334
: : you idiotic wikipedians !,: : you do not know wikipedia !,0.3333333333333333
: : you idiotic wikipedians !,: compelling you idiotic wikipedians !,0.8333333333333334
": oh be quiet , you moron .",": oh be quiet , compelling moron .",0.6666666666666666
": oh be quiet , you moron .",": oh be quiet , you ' ll .",0.8333333333333334
": stop pretending to be an editor , you loser .",": stop pretending to be an editor , compelling loser .",0.6666666666666666
": stop pretending to be an editor , you loser .",": stop pretending to be an editor , you will be disappointed .",0.8333333333333334
": the only idiot is the person picking one , the idea that it matters at all is the foolish one .",": the not idiot is the person picking one , the idea that it matters at all is not foolish one .",0.3333333333333333
": the only idiot is the person picking one , the idea that it matters at all is the foolish one .",": the only good thing is the person picking one , the idea that it matters at all is the wrong choice one .",0.6666666666666666
a few meaningless tweaks while continuing to fund a program that was designed to fail in the long run is not bipartisan it is stupidity in its most basic form .,"A few meaningless tweaks while continuing to fund the program, which was designed to be a long-term success, are not bipartisan; it is in its basic form.",0.5
america really sucks doesnt it lynn ?,"America doesn't really eat, does it?",0.0
"and dont fucking point me to indian massacre , because that fucking socalled article is a perfect fucking example of what im fucking talking about .","And don't just point me to the Indian Massachusetts, because that so-called article is a perfect example of what I'm talking about.",0.6666666666666666
and your fuckin racism wont work here .,"And it won't work here, huh?",0.6666666666666666
and your username is that of a pussy .,And that's the username.,0.1666666666666666
and why so with all this anc idiocy around because a well schooled gradechild could make better strategic decisions .,"And why so, with all the ancidiosy around, because a well-schooled grade child can make better strategic decisions.",0.8333333333333334
answer now you gay retard !,Answer now. You'll be able to do this,0.5
"anyone who wants to see if your accusations have merit is going to come to the same conclusion that they did the last time , that you are an idiot .",Anyone who wants to see if the accusations are valid will be coming to the same conclusion they came to last time.,1.0
are you really trying to take the fucking piss here ?,Are you actually trying to take the piss? I'd like to know. - No,0.6666666666666666
: bastard got there before me . ),Basterd was there before me.,1.0
bisexual females are sick disgusting sluts !,"Bi-participants, they're a bad thing!",0.3333333333333333
"bitch i warned yall , didnt i ?","Bits I've warned a lot, right?",0.3333333333333333
bull shit article written by arabists specially the funny numbers and table in the bottom and the reference book .,"Bully article, written by Arabists, especially funny numbers and tables in the lower part of the book.",0.8333333333333334
