text1,text2,human
"i ' m confused , what were your asking ?",i am confused . what were you asking ?,4.0
"listen to a real band , e . g . , "" as i lay dying .""",listen to real music like as i lay dying .,4.0
you have to call that number !,you have to call the number .,4.333333333333333
i do not care for large breasts .,i don ' t like large breasts .,3.333333333333333
you are right . you did the right thing .,you are absolutely correct that you did the right thing .,4.333333333333333
i am tell ing you this from my personal experience .,i am tell ing you this from personal experience .,5.0
i am glad that i do not like rap music because that is really creepy .,that is rather strange . it is fortunate that i do not like rap music .,3.0
"if they ask for cash only and no pay p al , they will not treat you fairly .","if they request cash rather than pay p al for trans action purposes , it is likely they will be unsc r up ulous .",1.6666666666666667
"just talk to them , what are they going to do , slap you ?",just tell them . what are they going to do ? slap you ?,4.666666666666667
simpl y disc o unt his legs and singing voice and there you have it .,just take away his dancing and his singing voice and you have it !,3.333333333333333
i hope that you find this one funny .,i hope you find this one amusing .,4.333333333333333
"if you have me r cen ary friends , then they can take care of anyone who anger s you .",that way when you become anger ed by somebody you can have your ne f arious friends cause harm to them !,2.6666666666666665
"sleep y , g rump y , do c , s nee zy , happy , do pe y , and ba sh ful are the seven dwarves !","the seven dwarves are these : sleep y , g rump y , do c , s nee zy , happy , do pe y , and ba sh ful .",5.0
"in my case , i think around n um  % .","in my situation , probably n um  % .",2.333333333333333
is what i saw on the television about him true ?,"i saw a tv program that said he did , is it true ?",3.0
"intercourse with love , of course . you must love the person with whom you are having coitus . it is very important .",you should love the person you are having sexual relations with .,3.0
"par is is not simple - minded , her intelligent quotient is around n um  .","she is not "" dumb "" , her i q is around n um  .",3.333333333333333
marry her at the court house .,marry her at the court house .,5.0
"i believe i am a more frequent listener to rock and roll , i would guess .",i think that i listen to rock music more .,3.333333333333333
are you sure you want to be with someone unsure of what he wants ?,are you certain that you want to be with someone who doesn ' t know what he wants ?,2.6666666666666665
my dad and i together have b ought about n um items .,my dad and i together have b ought ab ought a thousand items .,3.333333333333333
are you referr ing to time or longitud e ?,is what you ' re referr ing to the con cept of time or the longitud inal reading ?,3.6666666666666665
"if your future husband cheated on you , how would you feel about that ?",would you enjoy it if your future husband cheated on you ?,2.6666666666666665
i enjoy lonely  nation and gold en .,"i love "" lon ely  nation "" and "" g old en "".",4.0
"twenty years down the road , that is all you can be . so , start from the beginning .","you are twenty years old , you can start all over again .",1.6666666666666667
they were all in the bottom n um last week .,they were all at the bottom of the list last week .,4.0
i am very excited . i want new y ork to fight p umpkins .,i cannot wait for new y ork to fight p umpkins .,5.0
no body comprehend s what true problems are until you get married and have children .,you do not know what actual problems are until you are married and have children .,4.666666666666667
i love the song bad day .,"i love the song "" bad day .""",4.666666666666667
i prefer her over angel ina .,i simpl y find her more likable than angel ina .,3.6666666666666665
start step n um if you don ' t see any results after n um weeks .,if you do not see any results after three weeks .,3.333333333333333
"if you could have four qualities in a woman , what would they be ?","if you could have four qualities in your girlfriend , what would they be ?",4.0
"i am work ign pretty fast , maybe in n um - n um minuites .",approximately five to seven minutes . am i finish ing too quickly ?,1.3333333333333333
wait . perhaps it is not yet time for you to meet the right person .,maybe it is time for you to meet the right one .,2.333333333333333
do not fall for it again .,i ' m sorry that occurred . do not be b ambo oz led again . save yourself the pain .,3.6666666666666665
yes i do like her a lot but i do not think that she is the greatest singer .,"yes , i like her a lot , but i do not think she is the best singer .",4.0
a lan mo ore is whin ing that it ' s not .,a lan mo ore is whin ing that the opposite is true .,4.0
my favorite books are n ar u to books .,my favorite book is n ar u to series .,4.666666666666667
i love the sound of the two of them together .,"wow , i do love the sound of the two of them together .",3.6666666666666665
you are not one who she would normally like and i believe she is the same for you .,"you are not her type , and she is also not your type .",3.6666666666666665
"yes , i am attracted to cliche films direct ed towards woman .","yes , i have a weak ness for ban al films market ed to women .",4.333333333333333
i really enjoy star war s .,i love star war s .,3.6666666666666665
i like any show where they performed music .,i enjoyed any show in which they actually played music .,3.6666666666666665
have you ever tried to listen to gun s and roses ?,have you in the past attempted to enjoy any gun s n ' roses ?,4.333333333333333
i feel great when ever i think of her .,"when i reflect up on her , i feel a sense of well - being .",3.0
i doubt he would have so many television s .,i doubt he would have so many television s .,3.6666666666666665
"fall ing in love , real love , is magical . . . until reality set s in .","fall ing in love is great , untill you see reality .",4.0
how do you drown a blonde ?,how do you drown a blonde ?,5.0
"thanks so much . if anyone can help , i would appreciate it .",thanks you so much to anyone who can help .,2.6666666666666665
