text1,text2,human
"And , as he fell , did Romeo turn and fly .","And , as he fell , will turn and fly away .",0.6666666666666666
"And private in his chamber pens himself , Shuts up his windows , locks fair daylight out , And makes himself an artificial night .","And private in his chamber army , creeping like a tree , groaning feasts , corpses lands and sees a ship an important night .",0.0
"And sometime comes she with a tithe-pig's tail Tickling a parson's nose as he lies asleep , Then he dreams of another benefice .","And maybe she comes with a snake weapons put a beast as he sat down , he couldn't ruin another body of a Barbary horses .",0.3333333333333333
And there she shall at Friar Lawrence ' cell Be shrived and married .,And there I'll also be married at poetry until you're so smart .,0.0
"At my humble house tonight , you can expect to see dazzling stars that walk on the ground and light the sky from below .","At my house today , I can not know to see How hard that goes on the ground And turn the thick cat from the sky .",0.3333333333333333
"Ay , if I know the letters and the language .","Yes , if I know the letters and the language .",1.0
Be quick for a while and let the one who lives the longest take everything .,Be quick a while and let the one who lives the most bent Of the heavens .,0.6666666666666666
"Be quiet , you mumbling fool !","Be quiet , thou thread , ho !",0.3333333333333333
"But a lot of old people act like they're already dead , sluggish , slow , fat , and colorless , like lead .","But a good thing old people have looked like they are gone , Outlive , sound , and affable , like lead , and firm .",0.0
"But as soon as the sun rises in the east , my sad son comes home to escape the light .","But as soon as the sun rises in the watery , my sad friend Katherina comes to the light of the fire .",0.0
"But to say that Tybalt's dead and then say , ""Romeo has been banished."" To say that is like saying that my father , my mother , Tybalt , Romeo , and Juliet have all been killed , they're all dead .","But to say that cloud and then , say that hath been , ""and , say that is my father , that I am , my mother , and , forsooth , hast been all , oh , all they're dead .",0.0
Calling death banishment is like cutting off my head with a golden ax and smiling while I'm being murdered .,Grim death !,0.0
"Come , night .","Come on , gentlemen .",0.3333333333333333
"Come on , what did Romeo say ?","Come , what did he say ?",0.3333333333333333
Confusion's cure lives not In these confusions .,Everything !,0.0
"Despised , distressed , hated , martyred , killed !","Rescue , fair , damn , aroint , sweet !",0.0
Do not deny to him that you love me .,Don't worry about him that you want to love me .,0.6666666666666666
Do you have permission to go out and take confession today ?,Do you have friends to go out and take 'em today ?,0.3333333333333333
"Either my eyesight fails , or thou look'st pale .","Either my nephew doing , or you look pale .",0.3333333333333333
"Either you , or I , or both of us have to go with him .","Either you , or I , or both of us have go to fetch him .",0.3333333333333333
"Feeling the loss like this , I can't help but weep for him forever .","Alack the loss of mine , I will not weep for him but I thank him .",0.3333333333333333
Give me my sin again .,Give me my robe again .,0.6666666666666666
Go hence .,Go ahead .,1.0
Go wake Juliet .,Go fetch them hither .,0.3333333333333333
"Goodbye , Goodbye !","Sola , sola !",0.3333333333333333
"Ha , banishment ?","Ha , where's her ?",0.3333333333333333
Hast thou not a word of joy ?,Has he been a word of joy ?,0.6666666666666666
Have you killed Tybalt ?,Have you killed well ?,0.3333333333333333
He was not born to shame .,He was born to shame anymore .,0.3333333333333333
"He'll wake you up , I bet .","He'll wake you up , I warrant you .",0.8333333333333334
"Her body sleeps in Capels ' monument , And her immortal part with angels lives .","Her body sleeps in Italy , and her sweet York , with her joy is quickly .",0.3333333333333333
"Her body sleeps in the Capulet tomb , and her immortal soul lives with the angels in heaven .","Her body sleeps in the earth , And her cursed soul looks with the pale in heaven .",0.6666666666666666
Her eye in heaven Would through the airy region stream so bright That birds would sing and think it were not night .,Her eye !,0.3333333333333333
"Here is a friar that trembles , sighs and weeps .","Here is a lot of sighs and rain , and prepare to capture .",0.0
How art thou out of breath when thou hast breath To say to me that thou art out of breath ?,How are you out of breath when you're married to me that you'll say to me that I'm out of breath ?,0.6666666666666666
How long has he been there ?,How long hath he been there ?,1.0
"How should madmen hear , if wise men can't even see ?","How should we hear , if wise men must not see ?",0.3333333333333333
How sweet is love itself possessed When but love's shadows are so rich in joy !,"How sweet is love itself ! "" Then all the other thing so deeply !",1.0
I am aweary .,I am insulting me .,0.0
I am sped .,I am,0.3333333333333333
"I am too sore enpierced with his shaft To soar with his light feathers , and so bound , I can not bound a pitch above dull woe .","I am too expensive with his own idiot with his own light suits you , and so far can not let a guide strike a burning instant easy .",0.3333333333333333
I can read .,I can read that .,0.6666666666666666
I will be brief because I'm not going to live long enough to tell a boring story .,"I will be brief , And not be long enough to live a thing to tell .",1.0
I won't fail .,I will translate .,0.0
I won't miss any chance to send my love to you .,I shall not jump upon this cause To visit my brother .,0.0
I'll not to bed tonight .,I'll not listen to bed tonight .,0.3333333333333333
"I'll send to one in Mantua , Where that same banished runagate doth live , Shall give him such an unaccustomed dram That he shall soon keep Tybalt company .","I'll send to one in fact , that Cassio means that you're smart , you'll give him an oyster at its army that he won't keep back without company .",0.0
I'm suddenly afraid .,Thus it will be .,0.0
"If I answered that question , I'd be making confession to you .","If I answered not , That would be served to you .",0.6666666666666666
"If in thy wisdom thou canst give no help , Do thou but call my resolution wise , And with this knife I'll help it presently .","If your highness has one help you can get no help , don't give you my kind friend , and I'll get this monster before it .",0.3333333333333333
If they do see thee they will murder thee .,If they see things you're fighting about you .,0.3333333333333333
"Indeed , I should have asked you before who he was .","Indeed , I should have asked you before he was .",1.0
"Inside the little rind of this weak flower , there is both poison and powerful medicine .","Plucking the world of this weak parts , Who is both still curst and mighty blood .",0.3333333333333333
Is your man secret ?,Is your master become ?,0.0
It looks to me like it's burning in the Capulet tomb .,It looks like to me wear in the obscure tomb .,0.3333333333333333
Let me be ta'en .,Let me be cheerful .,0.3333333333333333
Let playful people with light hearts dance .,Let us not quickly turn with ways .,0.0
Let the blood rushing to my cheeks be calmed .,Let the blood be spotted to my age .,0.0
Let them judge us however they please .,Let us not meet us so they seek .,0.3333333333333333
"Madam , tell me quickly , what day is that ?","Madam , tell me , what is 't , is that ?",0.3333333333333333
Monday !,Let's go !,0.0
"Monday , my lord .","Good-bye , my lord .",0.3333333333333333
"Muffle me , night , awhile .","Wait , you are , Roderigo .",0.0
"No , Romeo will respond to the letter's writer , telling him whether he accepts the challenge .","No , will hie thee to the Sagittary the challenge , Yet he knows not the challenge .",0.6666666666666666
"Now I'll go see my priest , to ask for his help and tell him about my good luck .","Now shall I go , my lord , To give his help and tell him my good news .",1.0
Now you know the reason for the rush .,Now you know the reason for the watch .,0.3333333333333333
Nurse !,Damn it !,0.0
"O happy dagger , This is thy sheath .","Oh , happy , it's your dagger .",0.3333333333333333
"Oh , I wish I was the glove on that hand so that I could touch that cheek .","Oh , I am I wish the glove of that hand That I could touch that 'twas twice .",0.0
"Oh , mickle is the powerful grace that lies In herbs , plants , stones , and their true qualities .","Oh , it's the king's army that lies , Horatio , and other , loyal , and their true qualities .",0.0
"Oh , rude and unthankful boy !","Oh , ay and honest and ill !",0.0
"Oh , that most wicked fiend !","Oh , that most wicked and unnatural !",0.8333333333333334
"Oh , then I see that madmen have no ears .","Oh , then I see that gentlemen to have no ears .",0.6666666666666666
"Oh my , my bones ache so much .","O my bones , my bones look so much .",0.0
"Oh nature , what were you doing in hell ?","O nature , what were you in here in hell ?",1.0
"Old Montague is here , and he's waving his sword around just to make me mad .","Old of Macbeth , And here his bluest sword Doth not send me mad to make me mad .",0.6666666666666666
"Or if it did not , Your first is dead , or 'twere as good he were , As living here and you no use of him .","Or if it doesn't say that , your highness is dead or worse , as if he were , and something you can keep him out of you .",0.0
"Peter , wait for me at the gate .","Villain , thou dost hear for 's .",0.0
Please grant my prayer so my faith doesn't turn to despair .,"Hear me my Lysander so , my lord , To hold my peril .",0.3333333333333333
"Poison , I see , has been the cause of his death .","Thither , I see , has been the cause of his death .",0.0
"Poison , I see , hath been his timeless end. , O churl , drunk all , and left no friendly drop To help me after ?","Haven't , I see , has been his own capacities , even if you say , all right , and no little walk after me to help me ?",0.0
